"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"19084","ITBEES","Nippon India Nifty IT ETF","EQ","1.0000","1","ETF","E","NSE","46.6400","31.0900","","","2572584"
"11319","LICNETFN50","LIC Nifty ETF","EQ","1.0000","1","ETF","E","NSE","277.7600","185.1700","","","432001"
"6353","NIFTYETF","Mirae Asset Nifty 50 ETF","EQ","1.0000","1","ETF","E","NSE","273.1900","182.1200","","","439178"
"18284","HNGSNGBEES","Nippon India Hang Sen ETF","EQ","1.0000","1","ETF","E","NSE","272.5800","181.7200","","","382971"
"22243","EBBETF0425","Edelweiss BHARAT Bond ETF","EQ","1.0000","1","ETF","E","NSE","1414.5000","943.0000","","","84798"
"10576","NIFTYBEES","Nippon India Nifty Bees ETF","EQ","1.0000","1","ETF","E","NSE","286.0300","190.6800","","","419032"
"17700","LTGILTBEES","Nippon Long Term Gilt ETF","EQ","1.0000","1","ETF","E","NSE","29.9500","19.9600","","","4006027"
"590095","GOLDBEES","Nippon India Gold Bees ETF","E","1.0000","1","ETF","E","BSE","63.4200","42.2800","","","-1"
"11441","LICNETFSEN","LIC Sensex ETF","EQ","1.0000","1","ETF","E","NSE","908.5200","605.6800","","","132073"
"19289","MOM50","Motilal Oswal M50 ETF","EQ","1.0000","1","ETF","E","NSE","262.9800","175.3200","","","58032"
"11457","KOTAKNV20","Kotak NV 20 ETF","EQ","1.0000","1","ETF","E","NSE","160.4000","106.9300","","","136725"
"7361","SETFNIFBK","SBI Nifty Bank ETF","EQ","1.0000","1","ETF","E","NSE","558.5700","372.3800","","","185402"
"2636","DIVOPPBEES","Nip ETF Div Opportunities","EQ","1.0000","1","ETF","E","NSE","84.6300","56.4200","","","183531"
"21254","LOWVOLIETF","ICICI Pru Nifty Low 30 ETF","EQ","1.0000","1","ETF","E","NSE","223.7700","149.1800","","","536143"
"1927","LIQUIDETF","DSP Liquid ETF","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","99993"
"22440","UTIBANKETF","UTI Bank ETF","EQ","1.0000","1","ETF","E","NSE","56.1700","37.4400","","","2135965"
"19679","GOLDIETF","ICICI Prudential Gold ETF","EQ","1.0000","1","ETF","E","NSE","65.4400","43.6300","","","1832806"
"15229","LICNFNHGP","LIC Nifty 100 ETF","EQ","1.0000","1","ETF","E","NSE","276.7900","184.5200","","","433514"
"590097","KOTAKGOLD","Kotak Mahindra Gold ETF","E","1.0000","1","ETF","E","BSE","63.7300","42.4800","","","-1"
"29577","NIF100BEES","Nippon India Nifty 100 ETF","EQ","1.0000","1","ETF","E","NSE","274.0900","182.7200","","","300408"
"25640","LICMFGOLD","IDBI Gold ETF","EQ","5.0000","1","ETF","E","NSE","6828.7000","4552.5000","","","6441"
"17152","MIDCAPIETF","ICICI Pru Midcap 150 ETF","EQ","1.0000","1","ETF","E","NSE","217.3800","144.9200","","","434852"
"590113","HNGSNGBEES","Nippon India Hang Sen ETF","E","1.0000","1","ETF","E","BSE","270.0400","180.0300","","","-1"
"17181","NEXT50","Mirae Asset Nifty Next 50 ETF","EQ","1.0000","1","ETF","E","NSE","664.5200","443.0100","","","94386"
"29553","NIFTYIETF","ICICI Prudential Nifty India","EQ","1.0000","1","ETF","E","NSE","284.4900","189.6600","","","421626"
"11591","HDFCNIFTY","HDFCNIFTY","EQ","1.0000","1","ETF","E","NSE","283.0500","188.7000","","","423834"
"18292","IVZINGOLD","Invesco India Gold ETF","EQ","5.0000","1","ETF","E","NSE","6630.0500","4420.0500","","","5858"
"17702","MIDSELIETF","ICICI Prudential Midcap ETF","EQ","1.0000","1","ETF","E","NSE","171.2500","114.1600","","","95957"
"17044","SHARIABEES","Nippon India Shariah ETF","EQ","1.0000","1","ETF","E","NSE","595.8900","397.2600","","","10220"
"12978","NPBET","Tata Private Bank ETF","EQ","1.0000","1","ETF","E","NSE","285.7900","190.5200","","","11078"
"5851","KOTAKBKETF","Kotak Banking ETF","EQ","1.0000","1","ETF","E","NSE","564.2000","376.1300","","","212616"
"7218","SBIETFQLTY","SBI Quality ETF","EQ","1.0000","1","ETF","E","NSE","236.2200","157.4800","","","67921"
"533244","GOLDIETF","ICICI Prudential Gold ETF","E","1.0000","1","ETF","E","BSE","65.2500","43.5000","","","-1"
"21252","AXISNIFTY","Axis Nifty ETF","EQ","1.0000","1","ETF","E","NSE","278.0400","185.3600","","","431582"
"9847","NV20BEES","Nippon India Nv20 ETF","EQ","1.0000","1","ETF","E","NSE","161.3200","107.5500","","","252934"
"15061","KOTAKPSUBK","Kotak Mahindra PSU Bank ETF","EQ","1.0000","1","ETF","E","NSE","722.5800","481.7200","","","166062"
"6062","LICNETFGSC","LIC MF G-SEC Long Term ETF","EQ","1.0000","1","ETF","E","NSE","29.3000","19.5300","","","4094514"
"10176","SETFNIF50","SBI Nifty 50 ETF","EQ","1.0000","1","ETF","E","NSE","270.4000","180.2700","","","443453"
"522","ICICIB22","ICICI Bharat 22 ETF","EQ","1.0000","1","ETF","E","NSE","113.6800","75.7900","","","1054145"
"533570","AXISGOLD","Axis Gold ETF","E","1.0000","1","ETF","E","BSE","63.8700","42.5800","","","-1"
"4378","SENSEXIETF","ICICI Prudential Sensex ETF","EQ","1.0000","1","ETF","E","NSE","955.9200","637.2800","","","125508"
"7353","SETFNN50","SBI Nifty Next 50 ETF","EQ","1.0000","1","ETF","E","NSE","690.1300","460.0800","","","18231"
"11386","PVTBANIETF","ICICI Pru Private Banks ETF","EQ","1.0000","1","ETF","E","NSE","283.5300","189.0200","","","423166"
"17395","SETF10GILT","SBI 10 year Gilt ETF","EQ","1.0000","1","ETF","E","NSE","268.2100","178.8000","","","45409"
"533172","IVZINGOLD","Invesco India Gold ETF","E","1.0000","1","ETF","E","BSE","6624.0900","4416.0600","","","-1"
"533719","LICMFGOLD","IDBI Gold ETF","E","1.0000","1","ETF","E","BSE","6864.2100","4576.1400","","","-1"
"15032","PSUBNKBEES","Nippon India PSU Bank ETF","EQ","1.0000","1","ETF","E","NSE","80.5900","53.7200","","","1488817"
"11439","BANKBEES","Nippon India Bank Bees ETF","EQ","1.0000","1","ETF","E","NSE","563.3400","375.5600","","","212965"
"18783","IDFNIFTYET","IDFC Nifty ETF","EQ","1.0000","1","ETF","E","NSE","277.8200","185.2100","","","4673"
"10515","UTISENSETF","UTI Sensex ETF","EQ","1.0000","1","ETF","E","NSE","921.5800","614.3900","","","129798"
"14535","GOLDSHARE","UTI Gold ETF","EQ","5.0000","1","ETF","E","NSE","63.9000","42.6000","","","1877908"
"16253","EBBETF0430","Bharat Bond ETF - April 2030","EQ","1.0000","1","ETF","E","NSE","1590.1500","1060.1000","","","75410"
"533385","MON100","Motilal Oswal Nasdaq ETF","E","1.0000","1","ETF","E","BSE","168.4800","112.3200","","","-1"
"21423","MOM100","Motilal Oswal M100 ETF","EQ","1.0000","1","ETF","E","NSE","61.4100","40.9400","","","1953836"
"7838","NETF","Tata Nifty ETF","EQ","1.0000","1","ETF","E","NSE","270.6900","180.4600","","","443276"
"20532","AXISGOLD","Axis Gold ETF","EQ","1.0000","1","ETF","E","NSE","63.6800","42.4500","","","1884256"
"24217","IVZINNIFTY","Invesco India Nifty ETF","EQ","1.0000","1","ETF","E","NSE","2831.1000","1887.4000","","","10682"
"9168","UTISXN50","UTI Sensex Next 50 ETF","EQ","1.0000","1","ETF","E","NSE","84.1500","56.1000","","","33190"
"22344","ALPL30IETF","ICICI Prudential Alpha Low ETF","EQ","1.0000","1","ETF","E","NSE","294.2600","196.1700","","","407770"
